0,p_2392551609,hasEntityType,Paper
1,p_2392551609,hasYear,medium_old
2,p_2392551609,hasJourname,journal_of_shenyang_university_of_technology
3,p_2392551609,hasTypes,Education
4,p_2392551609,hasCountries,China
5,p_2392551609,hasTopics,control_engineering
6,p_2392551609,hasTopics,robustness
7,p_2392551609,hasTopics,recurrent_neural_network
8,p_2392551609,hasTopics,computer_science
9,p_2392551609,hasTopics,artificial_neural_network
10,p_2392551609,hasTopics,intelligent_control
11,p_2392551609,hasTopics,integrated_design
12,p_2392551609,hasTopics,control_theory
13,p_2392551609,hasTopics,gradient_descent
14,p_2392551609,hasTopics,controller
15,p_2392551609,hasTopics,fuzzy_logic
16,p_2392551609,hasAuthors,a_2007413655
17,a_2007413655,hasCountry,China
18,p_2005023258,hasEntityType,Paper
19,p_2005023258,hasYear,medium_old
20,p_2005023258,hasConfseries,ICCI
21,p_2005023258,hasTypes,Education
22,p_2005023258,hasCountries,China
23,p_2005023258,hasReferences,P_2370527522
24,p_2005023258,hasTopics,control_engineering
25,p_2005023258,hasTopics,applied_research
26,p_2005023258,hasTopics,real_time_control_system
27,p_2005023258,hasTopics,model_predictive_control
28,p_2005023258,hasTopics,decarburization
29,p_2005023258,hasTopics,computer_science
30,p_2005023258,hasTopics,artificial_neural_network
31,p_2005023258,hasTopics,fuzzy_control_system
32,p_2005023258,hasTopics,control_theory
33,p_2005023258,hasAuthors,a_2652776394
34,a_2652776394,hasCountry,China
35,p_2005023258,hasAuthors,a_2425735897
36,a_2425735897,hasCountry,China
37,p_2005023258,hasAuthors,a_2119796960
38,a_2119796960,hasCountry,China
39,p_2005023258,hasAuthors,a_2159987242
40,a_2159987242,hasCountry,China
41,p_2005023258,hasAuthors,a_2441570609
42,a_2441570609,hasCountry,China
43,p_2013492700,hasEntityType,Paper
44,p_2013492700,hasConfname,ICNC_2011
45,p_2013492700,hasYear,medium_recent
46,p_2013492700,hasConfseries,ICNC
47,p_2013492700,hasTypes,Education
48,p_2013492700,hasCountries,China
49,p_2013492700,hasReferences,P_1522676482
50,p_2013492700,hasReferences,P_2155757348
51,p_2013492700,hasReferences,P_1217151387
52,p_2013492700,hasReferences,P_2118706537
53,p_2013492700,hasReferences,P_2058417501
54,p_2013492700,hasReferences,P_2045671410
55,p_2013492700,hasReferences,P_2072343584
56,p_2013492700,hasReferences,P_1978355251
57,p_2013492700,hasReferences,P_2145039203
58,p_2013492700,hasReferences,P_2150354929
59,p_2013492700,hasReferences,P_1581808154
60,p_2013492700,hasReferences,P_1492221128
61,p_2013492700,hasTopics,recurrent_neural_network
62,p_2013492700,hasTopics,machine_learning
63,p_2013492700,hasTopics,traffic_flow
64,p_2013492700,hasTopics,artificial_intelligence
65,p_2013492700,hasTopics,computer_science
66,p_2013492700,hasTopics,artificial_neural_network
67,p_2013492700,hasTopics,feedforward_neural_network
68,p_2013492700,hasAuthors,a_2694686882
69,a_2694686882,hasCountry,China
70,p_2013492700,hasAuthors,a_2762260509
71,a_2762260509,hasCountry,China
72,p_2013492700,hasAuthors,a_2630077680
73,a_2630077680,hasCountry,China
74,p_2376428028,hasEntityType,Paper
75,p_2376428028,hasYear,recent
76,p_2376428028,hasTypes,Government
77,p_2376428028,hasCountries,Spain
78,p_2376428028,hasTopics,fibre_optic_gyroscope
79,p_2376428028,hasTopics,recurrent_neural_network
80,p_2376428028,hasTopics,computer_science
81,p_2376428028,hasTopics,autoregressive_moving_average_model
82,p_2376428028,hasTopics,artificial_neural_network
83,p_2376428028,hasTopics,random_error
84,p_2376428028,hasTopics,control_theory
85,p_2376428028,hasTopics,gyroscope
86,p_2376428028,hasAuthors,a_2475607349
87,a_2475607349,hasCountry,Spain
88,p_328710042,hasEntityType,Paper
